touchAt {'y': 342, 'x': 222, 'touches': 1}
touchAt {'y': 353, 'x': 204, 'touches': 1}
touchAt {'y': 363, 'x': 186, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 373, 'x': 168, 'touches': 1}
touchAt {'y': 381, 'x': 154, 'touches': 1}
touchAt {'y': 386, 'x': 144, 'touches': 1}
touchAt {'y': 391, 'x': 137, 'touches': 1}
touchAt {'y': 393, 'x': 133, 'touches': 1}
touchAt {'y': 395, 'x': 131, 'touches': 1}
touchAt {'y': 396, 'x': 129, 'touches': 1}
touchAt {'y': 397, 'x': 128, 'touches': 1}
touchAt {'y': 398, 'x': 127, 'touches': 1}
touchAt {'y': 398, 'x': 126, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 399, 'x': 125, 'touches': 1}
