touchAt {'y': 89, 'x': 189, 'touches': 1}
touchAt {'y': 88, 'x': 190, 'touches': 1}
touchAt {'y': 88, 'x': 191, 'touches': 1}
touchAt {'y': 87, 'x': 193, 'touches': 1}
touchAt {'y': 88, 'x': 196, 'touches': 1}
touchAt {'y': 94, 'x': 205, 'touches': 1}
touchAt {'y': 104, 'x': 216, 'touches': 1}
touchAt {'y': 118, 'x': 229, 'touches': 1}
touchAt {'y': 136, 'x': 242, 'touches': 1}
touchAt {'y': 156, 'x': 255, 'touches': 1}
touchAt {'y': 177, 'x': 266, 'touches': 1}
touchAt {'y': 199, 'x': 277, 'touches': 1}
touchAt {'y': 221, 'x': 287, 'touches': 1}
touchAt {'y': 244, 'x': 295, 'touches': 1}
touchAt {'y': 265, 'x': 301, 'touches': 1}
touchAt {'y': 284, 'x': 306, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 301, 'x': 309, 'touches': 1}
touchAt {'y': 316, 'x': 312, 'touches': 1}
touchAt {'y': 327, 'x': 314, 'touches': 1}
touchAt {'y': 336, 'x': 315, 'touches': 1}
touchAt {'y': 343, 'x': 315, 'touches': 1}
touchAt {'y': 348, 'x': 316, 'touches': 1}
touchAt {'y': 352, 'x': 316, 'touches': 1}
touchAt {'y': 355, 'x': 316, 'touches': 1}
touchAt {'y': 356, 'x': 316, 'touches': 1}
touchAt {'y': 358, 'x': 316, 'touches': 1}
touchAt {'y': 360, 'x': 316, 'touches': 1}
touchAt {'y': 361, 'x': 316, 'touches': 1}
touchAt {'y': 362, 'x': 316, 'touches': 1}
touchAt {'y': 363, 'x': 316, 'touches': 1}
touchAt {'y': 364, 'x': 316, 'touches': 1}
touchAt {'y': 365, 'x': 316, 'touches': 1}
touchAt {'y': 366, 'x': 316, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 366, 'x': 315, 'touches': 1}
touchAt {'y': 364, 'x': 308, 'touches': 1}
touchAt {'y': 357, 'x': 292, 'touches': 1}
touchAt {'y': 346, 'x': 272, 'touches': 1}
touchAt {'y': 333, 'x': 252, 'touches': 1}
touchAt {'y': 320, 'x': 233, 'touches': 1}
touchAt {'y': 305, 'x': 215, 'touches': 1}
touchAt {'y': 292, 'x': 198, 'touches': 1}
touchAt {'y': 278, 'x': 182, 'touches': 1}
touchAt {'y': 266, 'x': 168, 'touches': 1}
touchAt {'y': 255, 'x': 153, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 246, 'x': 142, 'touches': 1}
touchAt {'y': 240, 'x': 133, 'touches': 1}
touchAt {'y': 235, 'x': 126, 'touches': 1}
touchAt {'y': 232, 'x': 121, 'touches': 1}
touchAt {'y': 231, 'x': 118, 'touches': 1}
touchAt {'y': 230, 'x': 115, 'touches': 1}
touchAt {'y': 229, 'x': 114, 'touches': 1}
touchAt {'y': 229, 'x': 113, 'touches': 1}
touchAt {'y': 229, 'x': 112, 'touches': 1}
touchAt {'y': 228, 'x': 111, 'touches': 1}
swipeRight {'touches': 1}
touchAt {'y': 228, 'x': 113, 'touches': 1}
touchAt {'y': 228, 'x': 125, 'touches': 1}
touchAt {'y': 227, 'x': 148, 'touches': 1}
touchAt {'y': 226, 'x': 174, 'touches': 1}
touchAt {'y': 225, 'x': 196, 'touches': 1}
swipeRight {'touches': 1}
touchAt {'y': 224, 'x': 216, 'touches': 1}
touchAt {'y': 224, 'x': 233, 'touches': 1}
touchAt {'y': 224, 'x': 247, 'touches': 1}
touchAt {'y': 224, 'x': 259, 'touches': 1}
touchAt {'y': 224, 'x': 271, 'touches': 1}
touchAt {'y': 225, 'x': 281, 'touches': 1}
touchAt {'y': 225, 'x': 289, 'touches': 1}
touchAt {'y': 226, 'x': 295, 'touches': 1}
touchAt {'y': 226, 'x': 299, 'touches': 1}
touchAt {'y': 226, 'x': 301, 'touches': 1}
touchAt {'y': 226, 'x': 303, 'touches': 1}
touchAt {'y': 226, 'x': 304, 'touches': 1}
touchAt {'y': 226, 'x': 305, 'touches': 1}
touchAt {'y': 227, 'x': 306, 'touches': 1}
touchAt {'y': 227, 'x': 307, 'touches': 1}
touchAt {'y': 227, 'x': 308, 'touches': 1}
touchAt {'y': 228, 'x': 309, 'touches': 1}
touchAt {'y': 228, 'x': 310, 'touches': 1}
touchAt {'y': 229, 'x': 310, 'touches': 1}
touchAt {'y': 231, 'x': 311, 'touches': 1}
touchAt {'y': 234, 'x': 311, 'touches': 1}
touchAt {'y': 241, 'x': 308, 'touches': 1}
touchAt {'y': 254, 'x': 300, 'touches': 1}
touchAt {'y': 272, 'x': 283, 'touches': 1}
touchAt {'y': 293, 'x': 258, 'touches': 1}
touchAt {'y': 314, 'x': 229, 'touches': 1}
touchAt {'y': 333, 'x': 202, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 349, 'x': 179, 'touches': 1}
touchAt {'y': 363, 'x': 160, 'touches': 1}
touchAt {'y': 373, 'x': 148, 'touches': 1}
touchAt {'y': 380, 'x': 139, 'touches': 1}
touchAt {'y': 384, 'x': 134, 'touches': 1}
touchAt {'y': 386, 'x': 131, 'touches': 1}
touchAt {'y': 388, 'x': 129, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 390, 'x': 128, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 392, 'x': 126, 'touches': 1}
