touchAt {'y': 341, 'x': 154, 'touches': 1}
touchAt {'y': 324, 'x': 162, 'touches': 1}
touchAt {'y': 307, 'x': 169, 'touches': 1}
touchAt {'y': 288, 'x': 176, 'touches': 1}
touchAt {'y': 269, 'x': 183, 'touches': 1}
touchAt {'y': 250, 'x': 188, 'touches': 1}
touchAt {'y': 232, 'x': 194, 'touches': 1}
swipeUp {'touches': 1}
touchAt {'y': 214, 'x': 199, 'touches': 1}
touchAt {'y': 198, 'x': 203, 'touches': 1}
touchAt {'y': 182, 'x': 207, 'touches': 1}
touchAt {'y': 170, 'x': 210, 'touches': 1}
touchAt {'y': 158, 'x': 212, 'touches': 1}
touchAt {'y': 148, 'x': 214, 'touches': 1}
touchAt {'y': 140, 'x': 215, 'touches': 1}
touchAt {'y': 134, 'x': 216, 'touches': 1}
touchAt {'y': 128, 'x': 217, 'touches': 1}
touchAt {'y': 124, 'x': 217, 'touches': 1}
touchAt {'y': 121, 'x': 218, 'touches': 1}
touchAt {'y': 118, 'x': 218, 'touches': 1}
touchAt {'y': 117, 'x': 218, 'touches': 1}
touchAt {'y': 115, 'x': 218, 'touches': 1}
touchAt {'y': 114, 'x': 219, 'touches': 1}
touchAt {'y': 115, 'x': 219, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 117, 'x': 221, 'touches': 1}
touchAt {'y': 128, 'x': 226, 'touches': 1}
touchAt {'y': 144, 'x': 232, 'touches': 1}
touchAt {'y': 163, 'x': 238, 'touches': 1}
touchAt {'y': 184, 'x': 244, 'touches': 1}
touchAt {'y': 206, 'x': 249, 'touches': 1}
touchAt {'y': 228, 'x': 256, 'touches': 1}
touchAt {'y': 251, 'x': 262, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 274, 'x': 270, 'touches': 1}
touchAt {'y': 293, 'x': 277, 'touches': 1}
touchAt {'y': 312, 'x': 283, 'touches': 1}
touchAt {'y': 327, 'x': 287, 'touches': 1}
touchAt {'y': 338, 'x': 290, 'touches': 1}
touchAt {'y': 346, 'x': 291, 'touches': 1}
touchAt {'y': 351, 'x': 292, 'touches': 1}
touchAt {'y': 354, 'x': 293, 'touches': 1}
touchAt {'y': 356, 'x': 293, 'touches': 1}
touchAt {'y': 357, 'x': 293, 'touches': 1}
touchAt {'y': 358, 'x': 292, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 357, 'x': 290, 'touches': 1}
touchAt {'y': 353, 'x': 282, 'touches': 1}
touchAt {'y': 345, 'x': 270, 'touches': 1}
touchAt {'y': 337, 'x': 257, 'touches': 1}
touchAt {'y': 327, 'x': 242, 'touches': 1}
touchAt {'y': 317, 'x': 228, 'touches': 1}
touchAt {'y': 306, 'x': 212, 'touches': 1}
touchAt {'y': 296, 'x': 198, 'touches': 1}
touchAt {'y': 286, 'x': 182, 'touches': 1}
touchAt {'y': 277, 'x': 169, 'touches': 1}
touchAt {'y': 269, 'x': 155, 'touches': 1}
touchAt {'y': 262, 'x': 143, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 256, 'x': 133, 'touches': 1}
touchAt {'y': 251, 'x': 125, 'touches': 1}
touchAt {'y': 248, 'x': 119, 'touches': 1}
touchAt {'y': 245, 'x': 116, 'touches': 1}
touchAt {'y': 244, 'x': 113, 'touches': 1}
touchAt {'y': 243, 'x': 111, 'touches': 1}
touchAt {'y': 242, 'x': 110, 'touches': 1}
touchAt {'y': 241, 'x': 109, 'touches': 1}
touchAt {'y': 241, 'x': 108, 'touches': 1}
touchAt {'y': 240, 'x': 108, 'touches': 1}
touchAt {'y': 240, 'x': 107, 'touches': 1}
touchAt {'y': 239, 'x': 107, 'touches': 1}
touchAt {'y': 238, 'x': 107, 'touches': 1}
swipeRight {'touches': 1}
touchAt {'y': 235, 'x': 112, 'touches': 1}
touchAt {'y': 228, 'x': 128, 'touches': 1}
touchAt {'y': 220, 'x': 151, 'touches': 1}
touchAt {'y': 213, 'x': 174, 'touches': 1}
touchAt {'y': 207, 'x': 196, 'touches': 1}
touchAt {'y': 202, 'x': 217, 'touches': 1}
swipeRight {'touches': 1}
touchAt {'y': 197, 'x': 235, 'touches': 1}
touchAt {'y': 193, 'x': 252, 'touches': 1}
touchAt {'y': 189, 'x': 265, 'touches': 1}
touchAt {'y': 186, 'x': 276, 'touches': 1}
touchAt {'y': 183, 'x': 284, 'touches': 1}
touchAt {'y': 181, 'x': 289, 'touches': 1}
touchAt {'y': 180, 'x': 292, 'touches': 1}
touchAt {'y': 180, 'x': 294, 'touches': 1}
touchAt {'y': 179, 'x': 295, 'touches': 1}
touchAt {'y': 179, 'x': 296, 'touches': 1}
touchAt {'y': 178, 'x': 297, 'touches': 1}
touchAt {'y': 178, 'x': 299, 'touches': 1}
touchAt {'y': 178, 'x': 300, 'touches': 1}
touchAt {'y': 177, 'x': 301, 'touches': 1}
touchAt {'y': 177, 'x': 302, 'touches': 1}
touchAt {'y': 177, 'x': 303, 'touches': 1}
touchAt {'y': 177, 'x': 304, 'touches': 1}
touchRotate {'change': 1}
touchAt {'y': 177, 'x': 305, 'touches': 1}
touchHold {'touches': 1}
touchAt {'y': 178, 'x': 305, 'touches': 1}
touchAt {'y': 183, 'x': 304, 'touches': 1}
touchAt {'y': 196, 'x': 299, 'touches': 1}
touchAt {'y': 217, 'x': 287, 'touches': 1}
touchAt {'y': 242, 'x': 269, 'touches': 1}
touchAt {'y': 269, 'x': 246, 'touches': 1}
touchAt {'y': 293, 'x': 223, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 318, 'x': 198, 'touches': 1}
touchAt {'y': 343, 'x': 174, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 345, 'x': 173, 'touches': 1}
